referenceNumber,engine,commandId,title,description,sourceDocument,implementation
13,إدارة التبويبات والمستندات الذكية,insert-document-name,إدراج اسم المستند,إدراج اسم الملف الحالي عند المؤشر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
14,إدارة التبويبات والمستندات الذكية,insert-current-datetime,إدراج التاريخ والوقت,إدراج التاريخ والوقت الحاليين بصيغة موحدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
15,إدارة التبويبات والمستندات الذكية,insert-page-break-pro,إدراج فاصل صفحة,إدراج Page Break عند المؤشر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
16,إدارة التبويبات والمستندات الذكية,insert-section-next-page,مقطع في الصفحة التالية,إدراج Section Break من نوع Next Page.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
17,إدارة التبويبات والمستندات الذكية,zoom-100-pro,تكبير 100%,تعيين مستوى تكبير المستند إلى 100%.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
18,إدارة التبويبات والمستندات الذكية,zoom-110-pro,تكبير 110%,تعيين مستوى تكبير المستند إلى 110%.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
19,إدارة التبويبات والمستندات الذكية,zoom-125-pro,تكبير 125%,تعيين مستوى تكبير المستند إلى 125%.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
20,إدارة التبويبات والمستندات الذكية,zoom-150-pro,تكبير 150%,تعيين مستوى تكبير المستند إلى 150%.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
21,إدارة التبويبات والمستندات الذكية,zoom-75-pro,تكبير 75%,تعيين مستوى تكبير المستند إلى 75%.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
22,إدارة التبويبات والمستندات الذكية,zoom-85-pro,تكبير 85%,تعيين مستوى تكبير المستند إلى 85%.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
23,إدارة التبويبات والمستندات الذكية,formatting-marks-off,إخفاء علامات التنسيق,إخفاء علامات التنسيق غير المطبوعة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
24,إدارة التبويبات والمستندات الذكية,formatting-marks-on,إظهار علامات التنسيق,إظهار الفواصل والمسافات وعلامات الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
25,إدارة التبويبات والمستندات الذكية,rulers-off,إخفاء المساطر,إخفاء المسطرة الأفقية والعمودية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
26,إدارة التبويبات والمستندات الذكية,rulers-on,إظهار المساطر,إظهار المسطرة الأفقية والعمودية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
27,إدارة التبويبات والمستندات الذكية,view-normal-pro,عرض المسودة,التبديل إلى عرض المسودة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
28,إدارة التبويبات والمستندات الذكية,view-outline-pro,عرض المخطط التفصيلي,التبديل إلى عرض المخطط التفصيلي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
29,إدارة التبويبات والمستندات الذكية,view-print-pro,عرض تخطيط الطباعة,التبديل إلى عرض تخطيط الطباعة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
30,إدارة التبويبات والمستندات الذكية,view-reading-pro,عرض القراءة,التبديل إلى عرض القراءة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
31,إدارة التبويبات والمستندات الذكية,view-web-pro,عرض الويب,التبديل إلى عرض الويب.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
32,إدارة التبويبات والمستندات الذكية,document-statistics,إحصاءات المستند,عرض الصفحات والكلمات والجداول والصور.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
33,إدارة التبويبات والمستندات الذكية,insert-cover,إنشاء صفحة غلاف,إضافة غلاف منسق في بداية المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
34,إدارة التبويبات والمستندات الذكية,insert-file-name,إدراج اسم ومسار الملف,إدراج حقل FILENAME مع المسار.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
35,إدارة التبويبات والمستندات الذكية,list-fonts,قائمة خطوط الأنماط,عرض الخطوط المستخدمة في أنماط المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
36,إدارة التبويبات والمستندات الذكية,replace-font,استبدال خط,استبدال خط بآخر في المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
37,إدارة التبويبات والمستندات الذكية,clear-headers-footers,مسح الرؤوس والتذييلات,حذف نصوص الرؤوس والتذييلات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
38,إدارة التبويبات والمستندات الذكية,columns-1,عمود واحد,إرجاع النص إلى عمود واحد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
39,إدارة التبويبات والمستندات الذكية,columns-2,عمودان,تقسيم الصفحة إلى عمودين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
40,إدارة التبويبات والمستندات الذكية,columns-3,ثلاثة أعمدة,تقسيم الصفحة إلى ثلاثة أعمدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
41,معالجة وتنظيف النصوص الشاملة,text-comma-to-lines,الفواصل إلى أسطر,تحويل العناصر المفصولة بفواصل إلى أسطر مستقلة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
42,معالجة وتنظيف النصوص الشاملة,text-list-to-plain,تحويل القائمة إلى نص,إزالة التعداد أو الترقيم مع إبقاء المحتوى.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
43,معالجة وتنظيف النصوص الشاملة,text-normalize-tabs,توحيد علامات Tab,توحيد علامات الجدولة المتكررة داخل النص.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
44,معالجة وتنظيف النصوص الشاملة,text-remove-email-quotes,تنظيف اقتباسات البريد,حذف رموز الاقتباس > من بداية الأسطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
45,معالجة وتنظيف النصوص الشاملة,text-remove-extra-breaks,تنظيف فواصل الأسطر,اختصار فواصل الأسطر والفقرات المتكررة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
46,معالجة وتنظيف النصوص الشاملة,text-trim-document,قص بداية ونهاية النص,إزالة الفراغات والفواصل من طرفي النطاق.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
47,معالجة وتنظيف النصوص الشاملة,text-semicolon-to-paragraph,الفواصل المنقوطة إلى فقرات,تقسيم النص عند الفاصلة المنقوطة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
48,معالجة وتنظيف النصوص الشاملة,text-punctuation-spacing,ضبط مسافات الترقيم,إصلاح المسافات قبل وبعد علامات الترقيم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
49,معالجة وتنظيف النصوص الشاملة,linebreaks-to-paragraphs,فواصل الأسطر إلى فقرات,تحويل line breaks إلى paragraph breaks.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
50,معالجة وتنظيف النصوص الشاملة,collapse-spaces,تنظيف المسافات,حذف المسافات المتكررة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
51,معالجة وتنظيف النصوص الشاملة,join-paragraphs,دمج الفقرات,تحويل الفقرات المحددة إلى فقرة واحدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
52,معالجة وتنظيف النصوص الشاملة,prefix-lines,إضافة بادئة للأسطر,إضافة نص قبل كل سطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
53,معالجة وتنظيف النصوص الشاملة,suffix-lines,إضافة لاحقة للأسطر,إضافة نص بعد كل سطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
54,معالجة وتنظيف النصوص الشاملة,extract-emails,استخراج البريد الإلكتروني,استخراج عناوين البريد من النص.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
55,معالجة وتنظيف النصوص الشاملة,extract-urls,استخراج الروابط,استخراج الروابط من النص.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
56,معالجة وتنظيف النصوص الشاملة,lowercase,lowercase,تحويل الأحرف الإنجليزية إلى صغيرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
57,معالجة وتنظيف النصوص الشاملة,paragraphs-bullets,تحويل إلى نقاط,تحويل الفقرات إلى قائمة نقطية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
58,معالجة وتنظيف النصوص الشاملة,paragraphs-numbers,تحويل إلى ترقيم,تحويل الفقرات إلى قائمة مرقمة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
59,معالجة وتنظيف النصوص الشاملة,paste-plain,لصق كنص فقط,لصق محتوى الحافظة دون تنسيق.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
60,معالجة وتنظيف النصوص الشاملة,remove-duplicate-lines,حذف الأسطر المكررة,الاحتفاظ بأول ظهور لكل سطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
61,معالجة وتنظيف النصوص الشاملة,remove-duplicate-paragraphs,حذف الفقرات المكررة,حذف الفقرات المتكررة مع تجاهل اختلاف المسافات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
62,معالجة وتنظيف النصوص الشاملة,remove-duplicate-words,حذف الكلمات المتتابعة المكررة,تحويل كلمة كلمة إلى كلمة واحدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
63,معالجة وتنظيف النصوص الشاملة,remove-hyperlinks,إزالة الروابط,حذف الارتباطات مع إبقاء النص.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
64,معالجة وتنظيف النصوص الشاملة,smart-quotes,اقتباس ذكي,تحويل الاقتباسات المستقيمة إلى ذكية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
65,معالجة وتنظيف النصوص الشاملة,sort-lines-asc,فرز تصاعدي,فرز الأسطر تصاعديًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
66,معالجة وتنظيف النصوص الشاملة,sort-lines-desc,فرز تنازلي,فرز الأسطر تنازليًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
67,معالجة وتنظيف النصوص الشاملة,text-statistics,إحصاءات النص,عرض الكلمات والأحرف والفقرات والجمل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
68,معالجة وتنظيف النصوص الشاملة,trim-lines,قص حواف الأسطر,حذف المسافات من بداية ونهاية كل سطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
69,معالجة وتنظيف النصوص الشاملة,uppercase,UPPERCASE,تحويل الأحرف الإنجليزية إلى كبيرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
70,معالجة وتنظيف النصوص الشاملة,clear-list,إزالة تنسيق القائمة,إزالة الترقيم أو التعداد من الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
71,معالجة وتنظيف النصوص الشاملة,duplicate-selection,تكرار التحديد,نسخ النص المحدد مباشرة بعده.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
72,معالجة وتنظيف النصوص الشاملة,extract-phones,استخراج أرقام الهواتف,استخراج أرقام الهواتف المحتملة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
73,معالجة وتنظيف النصوص الشاملة,invert-case,Invert Case,عكس حالة الأحرف الكبيرة والصغيرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
74,معالجة وتنظيف النصوص الشاملة,normalize-dashes,توحيد الشرطات,توحيد hyphen وen dash وem dash.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
75,معالجة وتنظيف النصوص الشاملة,remove-empty-paragraphs,حذف الفقرات الفارغة,اختصار الفقرات الفارغة المتكررة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
76,معالجة وتنظيف النصوص الشاملة,remove-leading-spaces,حذف مسافات بداية الأسطر,تنظيف بداية كل سطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
77,معالجة وتنظيف النصوص الشاملة,remove-nonprinting,حذف المحارف غير المطبوعة,حذف المحارف التحكمية غير المرئية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
78,معالجة وتنظيف النصوص الشاملة,remove-trailing-spaces,حذف مسافات نهاية الأسطر,تنظيف نهاية كل سطر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
79,معالجة وتنظيف النصوص الشاملة,sentence-case,Sentence case,تكبير بداية كل جملة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
80,معالجة وتنظيف النصوص الشاملة,split-by-delimiter,تقسيم حسب فاصل,استبدال فاصل محدد بفواصل فقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
81,الهندسة اللغوية والخطوط العربية,arabic-proofing,لغة تدقيق عربية,تعيين لغة التدقيق العربية للنص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
82,الهندسة اللغوية والخطوط العربية,english-proofing,لغة تدقيق إنجليزية,تعيين لغة التدقيق الإنجليزية للنص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
83,الهندسة اللغوية والخطوط العربية,arabic-decimal-separator,الفاصل العشري العربي,تحويل الفاصل العشري بين الأرقام إلى ٫.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
84,الهندسة اللغوية والخطوط العربية,arabic-normalize-ligatures,توحيد الوصلات العربية,تطبيق Unicode Form KC لتوحيد أشكال الحروف والوصلات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
85,الهندسة اللغوية والخطوط العربية,arabic-thousands-separator,فاصل الآلاف العربي,تحويل فواصل الآلاف إلى ٬.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
86,الهندسة اللغوية والخطوط العربية,arabic-remove-quranic-marks,حذف العلامات القرآنية,إزالة علامات الوقف والزخارف القرآنية مع إبقاء الأحرف.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
87,الهندسة اللغوية والخطوط العربية,auto-direction,اكتشاف الاتجاه تلقائيًا,اختيار RTL أو LTR حسب النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
88,الهندسة اللغوية والخطوط العربية,arabic-clean-all,تنظيف عربي شامل,حذف التشكيل والتطويل وضبط RTL وArial 14.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
89,الهندسة اللغوية والخطوط العربية,normalize-arabic-punctuation,ترقيم عربي ذكي,تحويل الفاصلة والفاصلة المنقوطة وعلامة السؤال إلى العربية وضبط المسافات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
90,الهندسة اللغوية والخطوط العربية,rtl,اتجاه RTL,تطبيق اتجاه الكتابة من اليمين إلى اليسار.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
91,الهندسة اللغوية والخطوط العربية,arabic-quotes,علامات اقتباس عربية,تحويل علامات الاقتباس إلى « ».,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
92,الهندسة اللغوية والخطوط العربية,digits-eastern,أرقام عربية,تحويل الأرقام الغربية إلى ٠١٢٣.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
93,الهندسة اللغوية والخطوط العربية,digits-western,أرقام غربية,تحويل الأرقام العربية والفارسية إلى 0123.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
94,الهندسة اللغوية والخطوط العربية,insert-arabic-date,إدراج التاريخ بالعربية,إدراج التاريخ الميلادي بأسماء الأشهر العربية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
95,الهندسة اللغوية والخطوط العربية,keyboard-ar-to-en,تصحيح كتابة عربية إلى إنجليزية,إصلاح نص كُتب بلوحة مفاتيح عربية بدل الإنجليزية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
96,الهندسة اللغوية والخطوط العربية,keyboard-en-to-ar,تصحيح كتابة إنجليزية إلى عربية,إصلاح نص كُتب بلوحة مفاتيح إنجليزية بدل العربية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
97,الهندسة اللغوية والخطوط العربية,ltr,اتجاه LTR,تطبيق اتجاه الكتابة من اليسار إلى اليمين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
98,الهندسة اللغوية والخطوط العربية,normalize-arabic,توحيد الحروف العربية,توحيد أشكال الألف والياء والهمزات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
99,الهندسة اللغوية والخطوط العربية,number-arabic-words,رقم إلى كلمات عربية,تحويل الرقم المحدد إلى كلمات عربية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
100,الهندسة اللغوية والخطوط العربية,persian-to-arabic-letters,تصحيح الحروف الفارسية,تحويل ي وك الفارسية إلى الحروف العربية القياسية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
101,الهندسة اللغوية والخطوط العربية,remove-diacritics,حذف التشكيل,حذف الحركات والعلامات العربية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
102,الهندسة اللغوية والخطوط العربية,wrap-arabic-brackets,إحاطة بقوسين عربيين,إحاطة النص المحدد بعلامتي ﴿ ﴾.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
103,الهندسة اللغوية والخطوط العربية,digits-persian,أرقام فارسية,تحويل الأرقام إلى ۰۱۲۳.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
104,الهندسة اللغوية والخطوط العربية,insert-hijri-date,إدراج التاريخ الهجري,إدراج تاريخ أم القرى الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
105,الهندسة اللغوية والخطوط العربية,remove-tatweel,حذف التطويل,حذف الكشيدة ـ من النص.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
106,الهندسة اللغوية والخطوط العربية,remove-zero-width,حذف المحارف المخفية,حذف محارف zero-width وBOM من النص.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
107,الهندسة اللغوية والخطوط العربية,reverse-text,عكس النص,عكس ترتيب الأحرف في النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
108,الهندسة اللغوية والخطوط العربية,font-aptos-11,Aptos 11,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
109,الهندسة اللغوية والخطوط العربية,font-aptos-12,Aptos 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
110,الهندسة اللغوية والخطوط العربية,font-arial-10,Arial 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
111,الهندسة اللغوية والخطوط العربية,font-arial-12,Arial 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
112,الهندسة اللغوية والخطوط العربية,font-arial-16,Arial 16,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
113,الهندسة اللغوية والخطوط العربية,font-calibri-10,Calibri 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
114,الهندسة اللغوية والخطوط العربية,font-calibri-12,Calibri 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
115,الهندسة اللغوية والخطوط العربية,font-cambria-12,Cambria 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
116,الهندسة اللغوية والخطوط العربية,font-century-gothic-11,Century Gothic 11,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
117,الهندسة اللغوية والخطوط العربية,font-consolas-10,Consolas 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
118,الهندسة اللغوية والخطوط العربية,font-courier-10,Courier New 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
119,الهندسة اللغوية والخطوط العربية,font-dubai-12,Dubai 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
120,الهندسة اللغوية والخطوط العربية,font-georgia-12,Georgia 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
121,الهندسة اللغوية والخطوط العربية,font-noto-naskh-14,Noto Naskh Arabic 14,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
122,الهندسة اللغوية والخطوط العربية,font-segoe-10,Segoe UI 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
123,الهندسة اللغوية والخطوط العربية,font-segoe-12,Segoe UI 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
124,الهندسة اللغوية والخطوط العربية,font-simplified-arabic-14,Simplified Arabic 14,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
125,الهندسة اللغوية والخطوط العربية,font-tahoma-10,Tahoma 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
126,المساعد الذكي والذكاء الاصطناعي,smart-executive-summary,ملخص تنفيذي ذكي,إنشاء ملخص تنفيذي محلي مع مؤشرات النص.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
127,المساعد الذكي والذكاء الاصطناعي,smart-offline-summary,تلخيص ذكي دون إنترنت,إنشاء ملخص استخراجي محلي من الجمل الأهم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
128,المساعد الذكي والذكاء الاصطناعي,smart-sentiment,تحليل نبرة النص,تحليل محلي تقريبي للكلمات الإيجابية والسلبية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
129,المساعد الذكي والذكاء الاصطناعي,smart-keywords,استخراج الكلمات المفتاحية,استخراج أكثر الكلمات دلالة وتكرارًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
130,المساعد الذكي والذكاء الاصطناعي,smart-outline,مخطط هيكلي ذكي,إنشاء مخطط أولي من الفقرات والعناوين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
131,المساعد الذكي والذكاء الاصطناعي,smart-readability-advice,اقتراحات قابلية القراءة,تحليل طول الجمل والفقرات وإظهار توصيات عملية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
132,المساعد الذكي والذكاء الاصطناعي,smart-title-suggestions,اقتراح عناوين,توليد عناوين مقترحة من الكلمات المفتاحية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
133,المساعد الذكي والذكاء الاصطناعي,ai-chat-provider,دردشة مع المستند,طرح سؤال على النص المحدد عبر موفر AI اختياري.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
134,المساعد الذكي والذكاء الاصطناعي,ai-provider-settings,إعداد موفر AI,إعداد Ollama أو LM Studio أو OpenAI-Compatible اختياريًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
135,المساعد الذكي والذكاء الاصطناعي,ai-rewrite-provider,إعادة صياغة عبر AI,إرسال النص إلى موفر AI المتوافق وإدراج النتيجة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
136,المساعد الذكي والذكاء الاصطناعي,ai-translate-provider,ترجمة عبر AI,ترجمة النص عبر موفر AI اختياري.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
137,المساعد الذكي والذكاء الاصطناعي,smart-action-items,استخراج إجراءات العمل,استخراج الجمل المحتملة التي تتضمن إجراءات أو تكليفات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
138,المساعد الذكي والذكاء الاصطناعي,smart-decisions,استخراج القرارات,استخراج الجمل التي تبدو قرارات أو اعتمادات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
139,المساعد الذكي والذكاء الاصطناعي,smart-reading-questions,إنشاء أسئلة قراءة,توليد أسئلة مراجعة من عبارات المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
140,المساعد الذكي والذكاء الاصطناعي,calculator,حاسبة التحديد,حساب تعبير رياضي محدد وإدراج النتيجة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
141,المساعد الذكي والذكاء الاصطناعي,insert-checklist,قائمة مهام بمربعات,تحويل بنود إلى قائمة ☐.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
142,المساعد الذكي والذكاء الاصطناعي,insert-guid,إدراج UUID,إدراج معرف فريد عالمي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
