id,category,title,description,keywords
trim-lines,النص والتحرير,قص حواف الأسطر,حذف المسافات من بداية ونهاية كل سطر.,trim
remove-empty-paragraphs,النص والتحرير,حذف الفقرات الفارغة,اختصار الفقرات الفارغة المتكررة.,فراغ
join-paragraphs,النص والتحرير,دمج الفقرات,تحويل الفقرات المحددة إلى فقرة واحدة.,دمج
tabs-to-spaces,النص والتحرير,Tabs إلى مسافات,استبدال علامات الجدولة بمسافات.,tab
linebreaks-to-paragraphs,النص والتحرير,فواصل الأسطر إلى فقرات,تحويل line breaks إلى paragraph breaks.,سطر فقرة
remove-duplicate-lines,النص والتحرير,حذف الأسطر المكررة,الاحتفاظ بأول ظهور لكل سطر.,مكرر
remove-duplicate-paragraphs,النص والتحرير,حذف الفقرات المكررة,حذف الفقرات المتكررة مع تجاهل اختلاف المسافات.,تكرار
remove-duplicate-words,النص والتحرير,حذف الكلمات المتتابعة المكررة,تحويل كلمة كلمة إلى كلمة واحدة.,مكرر كلمات
sort-lines-asc,النص والتحرير,فرز تصاعدي,فرز الأسطر تصاعديًا.,ترتيب
sort-lines-desc,النص والتحرير,فرز تنازلي,فرز الأسطر تنازليًا.,ترتيب
prefix-lines,النص والتحرير,إضافة بادئة للأسطر,إضافة نص قبل كل سطر.,بادئة
suffix-lines,النص والتحرير,إضافة لاحقة للأسطر,إضافة نص بعد كل سطر.,لاحقة
split-by-delimiter,النص والتحرير,تقسيم حسب فاصل,استبدال فاصل محدد بفواصل فقرات.,تقسيم
paragraphs-bullets,النص والتحرير,تحويل إلى نقاط,تحويل الفقرات إلى قائمة نقطية.,قائمة
paragraphs-numbers,النص والتحرير,تحويل إلى ترقيم,تحويل الفقرات إلى قائمة مرقمة.,قائمة أرقام
clear-list,النص والتحرير,إزالة تنسيق القائمة,إزالة الترقيم أو التعداد من الفقرات.,قائمة
uppercase,النص والتحرير,UPPERCASE,تحويل الأحرف الإنجليزية إلى كبيرة.,case
lowercase,النص والتحرير,lowercase,تحويل الأحرف الإنجليزية إلى صغيرة.,case
titlecase,النص والتحرير,Title Case,تكبير بدايات الكلمات الإنجليزية.,case
sentence-case,النص والتحرير,Sentence case,تكبير بداية كل جملة.,case
invert-case,النص والتحرير,Invert Case,عكس حالة الأحرف الكبيرة والصغيرة.,case
smart-quotes,النص والتحرير,اقتباس ذكي,تحويل الاقتباسات المستقيمة إلى ذكية.,quotes
normalize-dashes,النص والتحرير,توحيد الشرطات,توحيد hyphen وen dash وem dash.,شرطة
remove-nonprinting,النص والتحرير,حذف المحارف غير المطبوعة,حذف المحارف التحكمية غير المرئية.,control
remove-hyperlinks,النص والتحرير,إزالة الروابط,حذف الارتباطات مع إبقاء النص.,روابط
extract-emails,النص والتحرير,استخراج البريد الإلكتروني,استخراج عناوين البريد من النص.,email
extract-urls,النص والتحرير,استخراج الروابط,استخراج الروابط من النص.,url
extract-phones,النص والتحرير,استخراج أرقام الهواتف,استخراج أرقام الهواتف المحتملة.,phone
text-statistics,النص والتحرير,إحصاءات النص,عرض الكلمات والأحرف والفقرات والجمل.,عدد احصاء
paste-plain,النص والتحرير,لصق كنص فقط,لصق محتوى الحافظة دون تنسيق.,لصق
font-arial-14,التنسيق والأنماط,Arial 14,تطبيق Arial 14 عربي وإنجليزي.,خط
font-tahoma-12,التنسيق والأنماط,Tahoma 12,تطبيق Tahoma 12.,خط
font-times-12,التنسيق والأنماط,Times New Roman 12,تطبيق Times New Roman 12.,خط
font-calibri-11,التنسيق والأنماط,Calibri 11,تطبيق Calibri 11.,خط
clear-formatting,التنسيق والأنماط,إزالة التنسيق المباشر,إرجاع النص إلى تنسيق النمط.,تنسيق
align-right,التنسيق والأنماط,محاذاة يمين,محاذاة الفقرات إلى اليمين.,محاذاة
align-left,التنسيق والأنماط,محاذاة يسار,محاذاة الفقرات إلى اليسار.,محاذاة
align-center,التنسيق والأنماط,توسيط,توسيط الفقرات.,محاذاة
align-justify,التنسيق والأنماط,ضبط كامل,ضبط الفقرات من الطرفين.,محاذاة
line-spacing-1,التنسيق والأنماط,تباعد مفرد,تباعد أسطر مفرد.,تباعد
line-spacing-115,التنسيق والأنماط,تباعد 1.15,تباعد أسطر 1.15.,تباعد
line-spacing-15,التنسيق والأنماط,تباعد 1.5,تباعد أسطر 1.5.,تباعد
line-spacing-2,التنسيق والأنماط,تباعد مزدوج,تباعد أسطر مزدوج.,تباعد
space-after-0,التنسيق والأنماط,مسافة بعد 0,إلغاء المسافة بعد الفقرة.,فقرة
space-after-6,التنسيق والأنماط,مسافة بعد 6,تعيين 6 نقاط بعد الفقرة.,فقرة
space-after-12,التنسيق والأنماط,مسافة بعد 12,تعيين 12 نقطة بعد الفقرة.,فقرة
indent-first-line,التنسيق والأنماط,مسافة بادئة للسطر الأول,تطبيق مسافة بادئة 0.75 سم.,indent
indent-remove,التنسيق والأنماط,إزالة المسافات البادئة,إزالة إزاحات الفقرة.,indent
keep-with-next,التنسيق والأنماط,إبقاء مع التالي,منع فصل العنوان عن الفقرة التالية.,صفحة
page-break-before,التنسيق والأنماط,بدء الفقرة في صفحة جديدة,تطبيق Page break before.,صفحة
highlight-yellow,التنسيق والأنماط,تمييز أصفر,تمييز النص باللون الأصفر.,لون
highlight-clear,التنسيق والأنماط,إزالة التمييز,إزالة لون التمييز.,لون
border-box,التنسيق والأنماط,إطار حول النص,إضافة حدود حول الفقرات المحددة.,حدود
border-clear,التنسيق والأنماط,إزالة الحدود,إزالة حدود الفقرات.,حدود
heading-1,التنسيق والأنماط,عنوان 1,تطبيق Heading 1.,نمط
heading-2,التنسيق والأنماط,عنوان 2,تطبيق Heading 2.,نمط
heading-3,التنسيق والأنماط,عنوان 3,تطبيق Heading 3.,نمط
style-normal,التنسيق والأنماط,نمط عادي,تطبيق Normal.,نمط
format-arabic-report,التنسيق والأنماط,تقرير عربي,تنسيق تقرير عربي احترافي.,تقرير
format-official-letter,التنسيق والأنماط,خطاب رسمي,ضبط الصفحة والخط والفقرات لخطاب عربي رسمي.,خطاب
format-academic,التنسيق والأنماط,تنسيق أكاديمي,ضبط الصفحة والخطوط والتباعد لبحث أكاديمي.,بحث
format-copy,التنسيق والأنماط,حفظ لقطة تنسيق,حفظ تنسيق النص الحالي داخل الجلسة.,نسخ تنسيق
format-apply,التنسيق والأنماط,تطبيق لقطة التنسيق,تطبيق آخر تنسيق محفوظ.,لصق تنسيق
table-rtl,الجداول,جدول RTL,اتجاه الجدول من اليمين إلى اليسار.,جدول
table-ltr,الجداول,جدول LTR,اتجاه الجدول من اليسار إلى اليمين.,جدول
table-professional,الجداول,تنسيق جدول احترافي,حدود وعنوان وتوسيط وملاءمة الصفحة.,فخم جدول
table-header-style,الجداول,تنسيق صف العنوان,تظليل وتغليظ وتكرار الصف الأول.,عنوان
table-banded-rows,الجداول,صفوف متبادلة,تظليل صفوف الجدول بالتناوب.,تظليل
table-autofit-window,الجداول,ملاءمة الصفحة,ملاءمة عرض الجدول للصفحة.,عرض
table-autofit-content,الجداول,ملاءمة المحتوى,ملاءمة عرض الأعمدة للمحتوى.,عرض
table-distribute-columns,الجداول,توزيع الأعمدة,توزيع الأعمدة بالتساوي.,أعمدة
table-distribute-rows,الجداول,توزيع الصفوف,توزيع الصفوف بالتساوي.,صفوف
table-repeat-header,الجداول,تكرار صف العنوان,تكرار الصف الأول في كل صفحة.,عنوان
table-remove-empty-rows,الجداول,حذف الصفوف الفارغة,حذف الصفوف التي لا تحتوي بيانات.,صفوف
table-remove-duplicate-rows,الجداول,حذف الصفوف المكررة,حذف الصفوف المتطابقة.,مكرر
table-trim-cells,الجداول,تنظيف الخلايا,حذف المسافات الزائدة داخل الخلايا.,تنظيف
table-center-cells,الجداول,توسيط الخلايا,توسيط أفقي وعمودي.,توسيط
table-number-first-column,الجداول,ترقيم العمود الأول,إضافة تسلسل رقمي للصفوف.,ترقيم
table-sum-column,الجداول,مجموع العمود,إضافة صف مجموع للعمود الحالي.,حساب
table-average-column,الجداول,متوسط العمود,إضافة صف متوسط للعمود الحالي.,حساب
table-sort-asc,الجداول,فرز الجدول تصاعديًا,فرز الصفوف حسب العمود الحالي.,ترتيب
table-sort-desc,الجداول,فرز الجدول تنازليًا,فرز الصفوف تنازليًا حسب العمود الحالي.,ترتيب
table-row-above,الجداول,صف أعلى,إضافة صف فوق الخلية الحالية.,إضافة صف
table-row-below,الجداول,صف أسفل,إضافة صف في نهاية الجدول.,إضافة صف
table-col-left,الجداول,عمود يسار,إضافة عمود قبل العمود الحالي.,إضافة عمود
table-col-right,الجداول,عمود يمين,إضافة عمود في نهاية الجدول.,إضافة عمود
table-delete-row,الجداول,حذف الصف,حذف الصف الحالي.,حذف
table-delete-column,الجداول,حذف العمود,حذف العمود الحالي.,حذف
table-merge-cells,الجداول,دمج الخلايا,دمج الخلايا المحددة.,دمج
table-split-cell,الجداول,تقسيم الخلية,تقسيم الخلية إلى صفوف وأعمدة.,تقسيم
table-borders-all,الجداول,كل الحدود,إظهار جميع حدود الجدول.,حدود
table-borders-none,الجداول,بدون حدود,إخفاء حدود الجدول.,حدود
table-vertical-top,الجداول,محاذاة عمودية أعلى,محاذاة محتوى الخلايا للأعلى.,عمودي
table-vertical-middle,الجداول,محاذاة عمودية وسط,محاذاة محتوى الخلايا للوسط.,عمودي
table-vertical-bottom,الجداول,محاذاة عمودية أسفل,محاذاة محتوى الخلايا للأسفل.,عمودي
text-to-table,الجداول,تحويل نص إلى جدول,تحويل نص مفصول بعلامات إلى جدول.,تحويل
table-to-text,الجداول,تحويل جدول إلى نص,تحويل الجدول إلى نص مفصول.,تحويل
table-transpose,الجداول,تبديل الصفوف والأعمدة,Transpose للجدول الحالي.,تبديل
update-fields,المستند والصفحات,تحديث جميع الحقول,تحديث الحقول والفهارس.,حقول
insert-toc,المستند والصفحات,إضافة فهرس محتويات,إدراج فهرس من العناوين 1 إلى 3.,فهرس
page-numbers-add,المستند والصفحات,إضافة أرقام الصفحات,إضافة الترقيم إلى التذييل.,ترقيم صفحة
page-numbers-remove,المستند والصفحات,حذف أرقام الصفحات,حذف حقول PAGE من التذييلات.,ترقيم صفحة
insert-page-break,المستند والصفحات,فاصل صفحة,إدراج فاصل صفحة يدوي.,فاصل
insert-section-next,المستند والصفحات,مقطع صفحة جديدة,إدراج Section Break Next Page.,مقطع
insert-section-continuous,المستند والصفحات,مقطع مستمر,إدراج Section Break Continuous.,مقطع
remove-page-breaks,المستند والصفحات,حذف فواصل الصفحات,حذف جميع فواصل الصفحات اليدوية.,فاصل
remove-section-breaks,المستند والصفحات,حذف فواصل المقاطع,حذف جميع فواصل المقاطع.,مقطع
page-a4,المستند والصفحات,حجم A4,ضبط الورق على A4.,ورق
page-a3,المستند والصفحات,حجم A3,ضبط الورق على A3.,ورق
page-letter,المستند والصفحات,حجم Letter,ضبط الورق على Letter.,ورق
page-portrait,المستند والصفحات,اتجاه عمودي,جعل الصفحة عمودية.,اتجاه
page-landscape,المستند والصفحات,اتجاه أفقي,جعل الصفحة أفقية.,اتجاه
margins-normal,المستند والصفحات,هوامش عادية,ضبط الهوامش إلى 2.54 سم.,هوامش
margins-narrow,المستند والصفحات,هوامش ضيقة,ضبط الهوامش إلى 1.27 سم.,هوامش
columns-1,المستند والصفحات,عمود واحد,إرجاع النص إلى عمود واحد.,أعمدة
columns-2,المستند والصفحات,عمودان,تقسيم الصفحة إلى عمودين.,أعمدة
columns-3,المستند والصفحات,ثلاثة أعمدة,تقسيم الصفحة إلى ثلاثة أعمدة.,أعمدة
line-numbers-on,المستند والصفحات,تشغيل أرقام الأسطر,إظهار ترقيم الأسطر.,أسطر
line-numbers-off,المستند والصفحات,إيقاف أرقام الأسطر,إخفاء ترقيم الأسطر.,أسطر
header-text,المستند والصفحات,نص رأس الصفحة,كتابة رأس موحد في جميع المقاطع.,هيدر
footer-text,المستند والصفحات,نص تذييل الصفحة,كتابة تذييل موحد في جميع المقاطع.,فوتر
clear-headers-footers,المستند والصفحات,مسح الرؤوس والتذييلات,حذف نصوص الرؤوس والتذييلات.,هيدر فوتر
insert-date-time,المستند والصفحات,إدراج تاريخ ووقت,إدراج التاريخ والوقت الحاليين.,تاريخ
insert-file-name,المستند والصفحات,إدراج اسم ومسار الملف,إدراج حقل FILENAME مع المسار.,مسار
document-statistics,المستند والصفحات,إحصاءات المستند,عرض الصفحات والكلمات والجداول والصور.,احصاء
list-fonts,المستند والصفحات,قائمة خطوط الأنماط,عرض الخطوط المستخدمة في أنماط المستند.,خطوط
replace-font,المستند والصفحات,استبدال خط,استبدال خط بآخر في المستند.,خط
remove-hidden-text,المستند والصفحات,حذف النص المخفي,حذف كل النصوص ذات خاصية Hidden.,مخفي
unlink-fields,المستند والصفحات,تحويل الحقول إلى نص,إلغاء ارتباط الحقول مع إبقاء النتائج.,حقول
remove-bookmarks,المستند والصفحات,حذف الإشارات المرجعية,حذف جميع Bookmarks.,bookmark
insert-cover,المستند والصفحات,إنشاء صفحة غلاف,إضافة غلاف منسق في بداية المستند.,غلاف
insert-signature,المستند والصفحات,كتلة توقيع,إدراج اسم وصفة وتوقيع وتاريخ.,توقيع
track-on,المراجعة والأمان,تشغيل تعقب التغييرات,تشغيل Track Changes.,تعقب
track-off,المراجعة والأمان,إيقاف تعقب التغييرات,إيقاف Track Changes.,تعقب
remove-comments,المراجعة والأمان,حذف التعليقات,حذف جميع التعليقات.,تعليقات
accept-revisions,المراجعة والأمان,قبول كل التعديلات,قبول جميع التغييرات المتعقبة.,تعديلات
reject-revisions,المراجعة والأمان,رفض كل التعديلات,رفض جميع التغييرات المتعقبة.,تعديلات
protect-readonly,المراجعة والأمان,حماية للقراءة فقط,حماية المستند بكلمة مرور ضد التحرير.,حماية
protect-forms,المراجعة والأمان,حماية تعبئة النماذج,السماح بتعبئة النماذج فقط.,حماية
unprotect,المراجعة والأمان,إلغاء الحماية,إلغاء حماية المستند بكلمة المرور.,حماية
remove-metadata,المراجعة والأمان,إزالة البيانات الشخصية,حذف معلومات المستند الشخصية.,خصوصية
clean-properties,المراجعة والأمان,تنظيف الخصائص المخصصة,حذف البيانات الشخصية والخصائص المخصصة.,خصوصية
remove-external-links,المراجعة والأمان,فصل الروابط الخارجية,فصل روابط البيانات الخارجية.,روابط
workflow-final-delivery,المراجعة والأمان,تجهيز نسخة نهائية,نسخة احتياطية ثم قبول التعديلات وحذف التعليقات وتحديث الحقول.,نهائي
workflow-final-share,المراجعة والأمان,تنظيف شامل قبل المشاركة,نسخة احتياطية وتنظيف مراجعة وخصوصية ونص مخفي.,مشاركة
save-backup,الملفات وPDF,نسخة احتياطية مؤرخة,حفظ نسخة احتياطية دون تغيير المستند المفتوح.,حفظ
save-version,الملفات وPDF,حفظ إصدار جديد,حفظ نسخة باسم يحتوي التاريخ والوقت.,نسخة
save-docx-copy,الملفات وPDF,نسخة DOCX,إنشاء نسخة DOCX مستقلة.,docx
save-all,الملفات وPDF,حفظ كل المستندات,حفظ جميع مستندات Word المفتوحة.,حفظ
export-pdf,الملفات وPDF,تصدير PDF,تصدير المستند إلى PDF.,pdf
export-pdfa,الملفات وPDF,تصدير PDF/A,تصدير أرشيفي PDF/A.,pdfa
export-selection-pdf,الملفات وPDF,تصدير التحديد PDF,تصدير الجزء المحدد فقط إلى PDF.,pdf تحديد
export-sections-pdf,الملفات وPDF,كل مقطع PDF مستقل,تصدير كل Section إلى ملف PDF منفصل.,pdf مقاطع
batch-pdf,الملفات وPDF,تحويل مجلد إلى PDF,تحويل ملفات Word داخل مجلد إلى PDF دفعة واحدة.,دفعي
merge-documents,الملفات وPDF,دمج مستندات,إدراج عدة مستندات في المستند الحالي.,دمج ملفات
open-document-folder,الملفات وPDF,فتح موقع المستند,فتح Explorer وتحديد الملف الحالي.,مجلد
copy-document-path,الملفات وPDF,نسخ مسار المستند,نسخ المسار الكامل إلى الحافظة.,مسار
archive-package,الملفات وPDF,حزمة أرشيف,إنشاء مجلد يحتوي نسخة Word وPDF ومعلومات الحزمة.,أرشيف
template-agenda,القوالب,جدول أعمال,إدراج قالب جدول أعمال اجتماع.,اجتماع
template-minutes,القوالب,محضر اجتماع,إدراج قالب محضر اجتماع.,اجتماع
template-official-letter,القوالب,خطاب رسمي,إدراج قالب خطاب رسمي.,خطاب
template-medical-report,القوالب,تقرير طبي,إدراج قالب تقرير طبي.,طبي
template-project-report,القوالب,تقرير مشروع,إدراج قالب تقرير مشروع.,مشروع
template-handover,القوالب,تسليم واستلام,إدراج محضر تسليم واستلام.,تسليم
template-memo,القوالب,مذكرة داخلية,إدراج قالب مذكرة.,مذكرة
template-quotation,القوالب,عرض سعر,إدراج قالب عرض سعر.,سعر
template-invoice,القوالب,فاتورة,إدراج قالب فاتورة.,فاتورة
template-certificate,القوالب,شهادة تقدير,إدراج قالب شهادة.,شهادة
template-attendance,القوالب,كشف حضور,إدراج كشف حضور.,حضور
template-tor,القوالب,شروط مرجعية ToR,إدراج هيكل شروط مرجعية.,tor
template-concept-note,القوالب,مذكرة مفاهيمية,إدراج هيكل Concept Note.,مشروع
template-donor-report,القوالب,تقرير جهة مانحة,إدراج هيكل تقرير مانحين.,مانح
template-sop,القوالب,إجراء تشغيلي SOP,إدراج هيكل SOP.,اجراء
template-risk-register,القوالب,سجل مخاطر,إدراج جدول سجل مخاطر.,خطر
template-action-plan,القوالب,خطة عمل,إدراج جدول خطة عمل.,خطة
template-cover-letter,القوالب,خطاب تغطية,إدراج قالب Cover Letter عربي.,خطاب
calculator,الأدوات الذكية,حاسبة التحديد,حساب تعبير رياضي محدد وإدراج النتيجة.,حساب
insert-guid,الأدوات الذكية,إدراج UUID,إدراج معرف فريد عالمي.,guid uuid
insert-lorem-arabic,الأدوات الذكية,نص عربي تجريبي,إدراج فقرات عربية لتجربة التصميم.,lorem
insert-checklist,الأدوات الذكية,قائمة مهام بمربعات,تحويل بنود إلى قائمة ☐.,checklist
open-log,الأدوات الذكية,فتح سجل الإضافة,فتح أحدث ملف Log.,سجل
normalize-unicode-spaces,النص الاحترافي,توحيد المسافات Unicode,تحويل المسافات غير القياسية إلى مسافات عادية.,unicode nbsp مسافات
remove-leading-spaces,النص الاحترافي,حذف مسافات بداية الأسطر,تنظيف بداية كل سطر.,بداية trim
remove-trailing-spaces,النص الاحترافي,حذف مسافات نهاية الأسطر,تنظيف نهاية كل سطر.,نهاية trim
remove-all-blank-paragraphs,النص الاحترافي,حذف كل الفقرات الفارغة,إزالة جميع الفقرات الخالية من التحديد.,فراغ فقرات
sentences-to-paragraphs,النص الاحترافي,الجمل إلى فقرات,وضع كل جملة في فقرة مستقلة.,جمل تقسيم
paragraphs-semicolon-list,النص الاحترافي,الفقرات إلى قائمة منقوطة,دمج الفقرات بفواصل منقوطة عربية.,قائمة منقوطة
wrap-arabic-quotes,النص الاحترافي,إحاطة باقتباس عربي,إحاطة التحديد بعلامتي « ».,اقتباس
wrap-parentheses,النص الاحترافي,إحاطة بأقواس,إحاطة التحديد بقوسين.,أقواس
wrap-brackets,النص الاحترافي,إحاطة بأقواس مربعة,إحاطة التحديد بـ [ ].,brackets
strip-html-tags,النص الاحترافي,حذف وسوم HTML,إزالة وسوم HTML وفك الكيانات النصية.,html تنظيف
extract-numbers,النص الاحترافي,استخراج الأرقام,إنشاء مستند جديد بالأرقام الموجودة.,أرقام استخراج
extract-hashtags,النص الاحترافي,استخراج الوسوم,استخراج Hashtags إلى مستند جديد.,هاشتاق hashtag
extract-mentions,النص الاحترافي,استخراج الإشارات,استخراج @mentions إلى مستند جديد.,mentions
word-frequency-top,التحليل والإحصاء,أكثر الكلمات تكرارًا,إنشاء تقرير بأعلى الكلمات تكرارًا.,frequency تكرار
find-replace-prompt,النص الاحترافي,بحث واستبدال سريع,بحث واستبدال داخل التحديد أو المستند.,بحث استبدال
highlight-term,النص الاحترافي,تمييز كلمة أو عبارة,تمييز جميع مرات ظهور النص.,highlight تمييز
clear-highlight-pro,النص الاحترافي,إزالة التمييز,إزالة لون التمييز من التحديد.,highlight
duplicate-selection,النص الاحترافي,تكرار التحديد,نسخ النص المحدد مباشرة بعده.,duplicate
sort-paragraphs-length,النص الاحترافي,فرز الفقرات حسب الطول,ترتيب الفقرات من الأقصر إلى الأطول.,فرز طول
remove-short-paragraphs,النص الاحترافي,حذف الفقرات القصيرة,حذف الفقرات الأقل من عدد أحرف تختاره.,قصيرة
unique-words-only,النص الاحترافي,الكلمات الفريدة فقط,الاحتفاظ بأول ظهور لكل كلمة.,unique كلمات
comma-list-bullets,النص الاحترافي,قائمة مفصولة إلى نقاط,تحويل العناصر المفصولة بفواصل إلى قائمة نقطية.,فواصل نقاط
insert-current-time,الإدراج والحقول,إدراج الوقت الحالي,إدراج الوقت بصيغة HH:mm.,وقت
insert-iso-date,الإدراج والحقول,إدراج تاريخ ISO,إدراج التاريخ بصيغة yyyy-MM-dd.,iso تاريخ
insert-timestamp,الإدراج والحقول,إدراج طابع زمني,إدراج التاريخ والوقت الكامل.,timestamp
insert-page-x-of-y,الإدراج والحقول,صفحة X من Y,إضافة ترقيم صفحة من إجمالي الصفحات في التذييل.,ترقيم صفحات
insert-checkbox-symbols,الإدراج والحقول,مربعات اختيار جاهزة,إدراج عدد من مربعات الاختيار.,checkbox
insert-document-info,الإدراج والحقول,كتلة معلومات المستند,إدراج العنوان والمؤلف واسم الملف والتاريخ.,خصائص معلومات
insert-decision-log,أطر العمل المؤسسية,سجل القرارات,إدراج جدول احترافي لتوثيق القرارات.,قرار log
insert-raci-matrix,أطر العمل المؤسسية,مصفوفة RACI,إدراج جدول توزيع المسؤوليات RACI.,raci مسؤوليات
insert-swot-matrix,أطر العمل المؤسسية,تحليل SWOT,إدراج جدول نقاط القوة والضعف والفرص والتهديدات.,swot
insert-kpi-table,أطر العمل المؤسسية,جدول مؤشرات KPI,إدراج إطار مؤشرات أداء ونتائج.,kpi مؤشرات
insert-budget-table,أطر العمل المؤسسية,جدول ميزانية,إدراج جدول ميزانية تفصيلي.,budget ميزانية
insert-timeline-table,أطر العمل المؤسسية,جدول زمني,إدراج جدول أنشطة ومواعيد ومسؤوليات.,timeline
insert-yes-no-table,أطر العمل المؤسسية,قائمة تحقق نعم/لا,إدراج جدول Checklist مؤسسي.,checklist تحقق
table-currency-format,الجداول المتقدمة,تنسيق خلايا كعملة,تنسيق القيم الرقمية برمز عملة تختاره.,عملة currency
table-percentage-format,الجداول المتقدمة,تنسيق خلايا كنسبة,تنسيق الأرقام كنسب مئوية.,percentage نسبة
table-digits-eastern-pro,الجداول المتقدمة,أرقام الجدول عربية,تحويل أرقام جميع خلايا الجدول إلى ٠١٢٣.,جدول أرقام
table-digits-western-pro,الجداول المتقدمة,أرقام الجدول غربية,تحويل أرقام جميع خلايا الجدول إلى 0123.,جدول أرقام
table-remove-cell-breaks,الجداول المتقدمة,حذف فواصل الخلايا,إزالة فواصل الأسطر من داخل الخلايا.,تنظيف خلايا
table-bold-first-row,الجداول المتقدمة,صف أول بارز,تغليظ الصف الأول وتكراره كرأس.,header عنوان
table-auto-row-height,الجداول المتقدمة,ارتفاع صفوف تلقائي,إعادة ارتفاع الصفوف إلى الوضع التلقائي.,ارتفاع
table-column-width-prompt,الجداول المتقدمة,عرض أعمدة مخصص,ضبط عرض الأعمدة بالسنتيمتر.,عرض عمود
document-dashboard,التحليل والإحصاء,لوحة المستند,عرض الصفحات والكلمات والجداول والصور والروابط والمراجعات.,dashboard احصاء
list-document-headings,التحليل والإحصاء,قائمة العناوين,إنشاء مستند جديد بجميع العناوين وأنماطها.,headings عناوين
list-bookmarks,التحليل والإحصاء,قائمة الإشارات المرجعية,إنشاء قائمة بأسماء Bookmarks.,bookmarks
export-plain-text,الملفات وPDF,تصدير المستند TXT,تصدير محتوى المستند كنص UTF-8.,txt text
export-selection-text,الملفات وPDF,تصدير التحديد TXT,حفظ النص المحدد في ملف TXT.,selection txt
copy-as-markdown,الملفات وPDF,نسخ كـ Markdown,نسخ التحديد كنص Markdown بسيط.,markdown
unlink-selection-fields,المراجعة والأمان,فصل حقول التحديد,تحويل الحقول الموجودة في التحديد إلى نص ثابت.,fields unlink
remove-footnotes,المراجعة والأمان,حذف الحواشي السفلية,حذف جميع Footnotes من المستند.,footnotes
remove-endnotes,المراجعة والأمان,حذف الحواشي الختامية,حذف جميع Endnotes من المستند.,endnotes
move-selection-new-document,الملفات وPDF,التحديد إلى مستند جديد,نسخ التحديد مع تنسيقه إلى مستند مستقل.,مستند جديد
command-center,النظام والترخيص,مركز الأدوات الاحترافي,بحث وفئات ومفضلة وآخر استخدام لكل الأدوات.,مركز
activate,النظام والترخيص,تفعيل البرنامج,إدخال Serial Number وتفعيل النسخة.,ترخيص
license-info,النظام والترخيص,حالة الترخيص,عرض حالة الترخيص ومعرّف الجهاز.,ترخيص
machine-id,النظام والترخيص,نسخ معرّف الجهاز,نسخ Machine ID لإرساله إلى مالك البرنامج.,ترخيص
health-check,النظام والترخيص,فحص الإضافة,عرض حالة الاتصال وإصدار Word والسجل.,فحص
about,النظام والترخيص,حول WordPro Suite,معلومات الإصدار والتقنية.,حول
